app_id,app_name,category,description,avg_rating
26,"Vedantu | JEE-NEET, Class 1-12",Education,"Vedantu is India's leading online education platform, offering LIVE interactive classes for students from Kindergarten to Grade 12, including courses for competitive exams like IIT-JEE and NEET. Our mission is to make quality education accessible and engaging, ensuring learning never stops.
Key Features:

  LIVE Interactive Classes 🎥: Engage with India's best educators through our interactive platform, making learning dynamic and personalized.
  Instant Doubt Solving ❓: Get your queries reso",4.3
27,Swayam,Education,"SWAYAM is a programme initiated by Government of India and designed to achieve the three cardinal principles of Education Policy viz., access, equity and quality. The objective of this effort is to take the best teaching learning resources to all, including the most disadvantaged. SWAYAM seeks to bridge the digital divide for students who have hitherto remained untouched by the digital revolution and have not been able to join the mainstream of the knowledge economy.

This is done through an i",4.1
28,edX online learning,Education,"Meet the online learning platform that prepares you for every career moment. Register for free to discover:

- Options for every budget, from free courses to professional certificates to full degrees.
- World-class content partners like MIT, Harvard, Amazon, and Google.
- Upskilling opportunities in critical disciplines like AI, supply chain, and sustainability.

It’s never too late or too early to join edX. Our courses and programs meet you where you are in your professional trajectory. Y",4.6
29,"Groww Stocks, Mutual Fund, IPO",Finance,"Groww is India's No.1 Stock Broker 🏆, trusted by 4 Crore+ Indians. Open a free demat account and start investing & trading.

🚀Groww is your one app to invest & trade in:
👉Stocks
👉Mutual Funds
👉Futures and Options Trading (F&O)
👉Gold and Silver
👉Margin Trading Facility (MTF)
👉Commodity Derivatives: Gold, Silver, Crude Oil, Natural Gas and more
👉Exchange Traded Funds (ETFs)
👉IPO
👉Bonds
👉API Trading

Reasons why Indians love investing on Groww
👉 Free demat account (Individual, HUF, C",4.7
30,Binance: Buy Bitcoin & Crypto,Finance,"Securely buy, sell, and hold cryptocurrencies like Bitcoin (BTC), Ethereum (ETH), Ripple (XRP), Dogecoin (DOGE), Pepe (PEPE) & Shiba Inu (SHIB) with low trading fees. Trusted by over 30 crore users worldwide, Binance is the world’s largest cryptocurrency exchange*
Here is why:

TRADE YOUR FAVORITE TOKENS AND MORE

Trade over 500 listed cryptocurrencies, including Bitcoin (BTC), Ethereum (ETH), Solana (SOL), Ripple (XRP), Dogecoin (DOGE), Pepe (PEPE) & Shiba Inu (SHIB)
Track the market usin",4.5
31,Upstox- Stocks & Demat Account,Finance,"Welcome to Upstox! We're here to help you Invest Right in Stocks, Mutual Funds, IPOs, Fixed Income, Fixed Deposits, T-Bills, Bonds & Gold for long-term wealth building. And trade in Equities, Options, Futures, Currencies & Commodities via our mobile and desktop platforms. We’re trusted by 1.3+ Cr Indians and backed by the late Mr. Ratan Tata.

1. Upstox Pro for Traders: Helps You Trade Right

• Advisory services by SEBI-registered RAs
• Strategy Chain with preset strategy templates, Greeks,",4.4
32,"Navi: UPI, Insurance & Loans",Finance,"Navi, your all-in-one financial superapp designed for diverse financial needs, offers a range of services for your convenience. From lightning-fast UPI payments to smart investments in mutual funds and gold, quick cash loans, reliable health insurance coverage, and effortless home loans, Navi has you covered. Download the Navi app and unlock a world of possibilities for your financial well-being.

1. Navi UPI
Simplify money transfers with Navi UPI (NPCI Approved).
Navi UPI Features
✅ Instan",4.5
33,"MetaTrader 5 — Forex, Stocks",Finance,"Forex & Stock brokers offer traders investing in shares and currency trading via MetaTrader 5. Your MT5 features real-time quotes, financial news, FX & stock charts, technical analysis and online trading. Free demo accounts are available.

Risk Warning: Our programs may involve real trading with a high risk of losing money rapidly. Most retail investor accounts lose money when trading financial products. You should consider whether you understand how various financial products work and whether",4.7
34,LinkedIn: Jobs & Business News,Business & Job Search,"Welcome professionals! The key to getting in is getting started. Begin your career journey and build connections with LinkedIn. Build your online resume and start your next job search with one of the largest social networking apps. Find work today & join a trusted community of 1 billion members.

Apply for jobs, build your professional network, and highlight your skills. Set job alerts to find the ideal fit for you. From freelance jobs or remote work to full-time or part-time jobs - LinkedIn w",4.3
35,Indeed Job Search,Business & Job Search,"Discover your next job opportunity on Indeed, the free job search app designed to connect you with better work anytime, anywhere.

Forget the other job search apps. With 12 jobs added every second and smart search filters to quickly narrow in on your ideal role, your next job is at your fingertips.

Whether casually browsing or urgently applying, Indeed has the jobs you want, all in one place, with advanced functionality to help you find work that meet your needs and easily apply from your d",4.5
